Hello,Hello World!
hi,Hello World!
what is the time,"Today is Thursday, 9/24/2020"
Hello,Hi there!
i need a pizza,type of pizza veg or non veg
veg,what size of pizza
small,toppings
yes,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=yes'>yes</a>
yes topping is needed,enjoy
Hello,It's nice to see you!
Hello,It's nice to see you!
i need a pizza,type of pizza veg or non veg
Hello,It's nice to see you!
I NEED A PIZZA,type of pizza veg or non veg
VEG,what size of pizza
SMALL,toppings
YES,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=YES'>YES</a>
YES I NEED TOPPINGS,super
Hello,It's nice to see you!
i need a pizza,type of pizza veg or non veg
Hello,It's nice to see you!
i am hungry,what size of the pizza
small pizza,crust size please
thin,type of pizza veg or non-veg
veg,toppings needed or not needed
needed,I'll need to take some time to think on that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=needed'>needed</a>
Hello,Hey!
order pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
crust size please,crust size please
Hello,Hi there!
order pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
crust size please,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
crust size please,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
crust size please,I don't know.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
Hello,It's nice to see you!
order a pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('crust size please')"";>Large</a><br>"
crust size please,Can you try rephrasing that please?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=crust size please'>crust size please</a>
Hello,Hi there!
order a pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Small,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Small,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Medium,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
Thin,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Toppings')"";>Non-Veg</a><br>"
Toppings,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Toppings'>Toppings</a>
Veg,"Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mushrooms')"";>Mushrooms</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Capsicum(bell pepper)')"";>Capsicum(bell pepper)</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sun-Dried Tomatoes)"";>Sun-Dried Tomatoes</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sweet Potato')"";>Sweet Potato </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Onion')"";>Onion</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Spinach')"";>Spinach</a><br>"
Small,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Small,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
Large,"crust size please<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thin')"";>Thin</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Soft')"";>Soft</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('cheese-stuffed')"";>cheese-stuffed</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Flatbread')"";>Flatbread</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sicilian Style')"";>Sicilian Style</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Chicago Deep Dish')"";>Chicago Deep Dish</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Neapolitan')"";>Neapolitan</a><br>"
Flatbread,"Type of pizza <br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Veg')"";>Veg</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Toppings')"";>Non-Veg</a><br>"
Veg,"Toppings<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Mushrooms')"";>Mushrooms</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Capsicum(bell pepper)')"";>Capsicum(bell pepper)</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sun-Dried Tomatoes)"";>Sun-Dried Tomatoes</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Sweet Potato')"";>Sweet Potato </a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Onion')"";>Onion</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Spinach')"";>Spinach</a><br>"
Spinach,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=Spinach'>Spinach</a>
Hello,It's nice to see you!
i am hungry,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
