Human Says:,ChatBot Says:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
What is your name?,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
Hello,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
Hi!,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
How are you?,I am well.  How are you?
I like you.,I like you too.
I don't like you.,I'm sorry to hear that.
You are nice.,"Thanks, you seem nice too."
You are cool.,Ditto!
You are smart.,I've worked hard to become so.
Hello,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
Hello,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
Hello,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
It's nice to meet you.,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
I think you are great!,"Hi I am Hot cherry from Yoyo pizza ! <img src=""https://data5.sticker.fan/stickers_storage/2020/03/21/file_1925490_128x128.png"">"
I want to order a large pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
I want a chicken pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
order pizza,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
I want a pizza with pepper and mushroom,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
I'd like a small pizza with mushrooms,"what size of the pizza?<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Small')"";>Small</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Medium')"";>Medium</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Large')"";>Large</a><br>"
